DATE,SYMBOL1,ACTION,SIZE,PRICE,TRIP,LMT_PRICE,STATUS,SYMBOL2,ACTION2,SIZE2,PRICE2,TRIP2,LMT_PRICE2,STATUS2
2017-10-11,pep,SELL,1000,111.595,Entry,N/A,Filled,ko,BUY,1000,46.125,Entry,N/A,Filled
2019-01-18,pep,BUY,1000,109.97,Entry,N/A,Filled,ko,SELL,1000,47.25,Entry,N/A,Filled
2019-02-28,pep,SELL,1000,114.74,Entry,N/A,Filled,ko,BUY,1000,45.12,Entry,N/A,Filled
2019-03-07,pep,BUY,1000,116.21,Entry,N/A,Filled,ko,SELL,1000,45.49,Entry,N/A,Filled
2019-03-11,pep,SELL,1000,115.3,Entry,N/A,Filled,ko,BUY,1000,45.14,Entry,N/A,Filled
2019-04-16,pep,BUY,1000,123.22,Entry,N/A,Filled,ko,SELL,1000,47.05,Entry,N/A,Filled
2019-05-06,pep,SELL,1000,127.3,Entry,N/A,Filled,ko,BUY,1000,48.33,Entry,N/A,Filled
2019-09-27,pep,BUY,1000,136.24,Entry,N/A,Filled,ko,SELL,1000,54.56,Entry,N/A,Filled
2019-10-25,pep,SELL,1000,137.78,Entry,N/A,Filled,ko,BUY,1000,54.55,Entry,N/A,Filled
2020-03-18,pep,BUY,1000,120.84,Entry,N/A,Filled,ko,SELL,1000,44.74,Entry,N/A,Filled
2020-03-30,pep,SELL,1000,121.61,Entry,N/A,Filled,ko,BUY,1000,43.04,Entry,N/A,Filled
2020-11-04,pep,BUY,1000,139.0,Entry,N/A,Filled,ko,SELL,1000,49.43,Entry,N/A,Filled
2020-11-12,pep,SELL,1000,144.25,Entry,N/A,Filled,ko,BUY,1000,53.05,Entry,N/A,Filled
2021-05-28,pep,BUY,1000,147.41,Entry,N/A,Filled,ko,SELL,1000,55.35,Entry,N/A,Filled
2021-07-26,pep,SELL,1000,156.79,Entry,N/A,Filled,ko,BUY,1000,56.89,Entry,N/A,Filled
2021-09-02,pep,BUY,1000,156.79,Entry,N/A,Filled,ko,SELL,1000,56.77,Entry,N/A,Filled
2021-09-07,pep,SELL,1000,156.48,Entry,N/A,Filled,ko,BUY,1000,56.6,Entry,N/A,Filled
2021-09-28,pep,BUY,1000,152.3696,Entry,N/A,Filled,ko,SELL,1000,53.46,Entry,N/A,Filled
2021-10-07,pep,SELL,1000,155.52,Entry,N/A,Filled,ko,BUY,1000,53.99,Entry,N/A,Filled
2021-12-16,pep,BUY,1000,171.57,Entry,N/A,Filled,ko,SELL,1000,57.98,Entry,N/A,Filled
2022-01-20,pep,SELL,1000,175.41,Entry,N/A,Filled,ko,BUY,1000,61.0,Entry,N/A,Filled
