DATE,SYMBOL,ACTION,SIZE,PRICE,TRIP,LMT_PRICE,STATUS
2017-02-10,pep,SELL,1000,105.83,Entry,N/A,FILLED
2017-02-10,ko,BUY,1000,41.02,Entry,N/A,FILLED
2017-03-17,pep,SELL,1000,111.479,Entry,N/A,FILLED
2017-03-17,ko,BUY,1000,42.28,Entry,N/A,FILLED
2017-03-22,pep,SELL,1000,112.31,Entry,N/A,FILLED
2017-03-22,ko,BUY,1000,42.56,Entry,N/A,FILLED
2017-04-13,pep,SELL,1000,113.25,Entry,N/A,FILLED
2017-04-13,ko,BUY,1000,42.87,Entry,N/A,FILLED
2017-04-19,pep,SELL,1000,114.42,Entry,N/A,FILLED
2017-04-19,ko,BUY,1000,43.74,Entry,N/A,FILLED
2017-05-24,pep,SELL,1000,115.31,Entry,N/A,FILLED
2017-05-24,ko,BUY,1000,44.51,Entry,N/A,FILLED
2017-06-30,pep,BUY,1000,115.53,Entry,N/A,FILLED
2017-06-30,ko,SELL,1000,44.89,Entry,N/A,FILLED
2017-07-12,pep,BUY,1000,114.49,Entry,N/A,FILLED
2017-07-12,ko,SELL,1000,44.59,Entry,N/A,FILLED
2017-08-15,pep,SELL,1000,117.88,Entry,N/A,FILLED
2017-08-15,ko,BUY,1000,45.8,Entry,N/A,FILLED
2017-09-14,pep,BUY,1000,114.44,Entry,N/A,FILLED
2017-09-14,ko,SELL,1000,46.4,Entry,N/A,FILLED
2017-09-25,pep,BUY,1000,112.04,Entry,N/A,FILLED
2017-09-25,ko,SELL,1000,45.5,Entry,N/A,FILLED
2017-10-03,pep,BUY,1000,109.42,Entry,N/A,FILLED
2017-10-03,ko,SELL,1000,44.86,Entry,N/A,FILLED
2017-11-14,pep,SELL,1000,113.69,Entry,N/A,FILLED
2017-11-14,ko,BUY,1000,46.71,Entry,N/A,FILLED
2018-01-02,pep,SELL,1000,119.93,Entry,N/A,FILLED
2018-01-02,ko,BUY,1000,45.91,Entry,N/A,FILLED
2018-01-11,pep,BUY,1000,117.64,Entry,N/A,FILLED
2018-01-11,ko,SELL,1000,46.23,Entry,N/A,FILLED
2018-02-07,pep,BUY,1000,113.97,Entry,N/A,FILLED
2018-02-07,ko,SELL,1000,44.58,Entry,N/A,FILLED
2018-02-09,pep,BUY,1000,110.81,Entry,N/A,FILLED
2018-02-09,ko,SELL,1000,43.36,Entry,N/A,FILLED
2018-02-15,pep,BUY,1000,109.53,Entry,N/A,FILLED
2018-02-15,ko,SELL,1000,44.25,Entry,N/A,FILLED
2018-03-14,pep,SELL,1000,113.57,Entry,N/A,FILLED
2018-03-14,ko,BUY,1000,44.38,Entry,N/A,FILLED
2018-04-19,pep,BUY,1000,106.71,Entry,N/A,FILLED
2018-04-19,ko,SELL,1000,44.34,Entry,N/A,FILLED
2018-06-14,pep,SELL,1000,105.26,Entry,N/A,FILLED
2018-06-14,ko,BUY,1000,43.75,Entry,N/A,FILLED
2018-06-25,pep,SELL,1000,107.71,Entry,N/A,FILLED
2018-06-25,ko,BUY,1000,43.16,Entry,N/A,FILLED
2018-07-12,pep,SELL,1000,112.54,Entry,N/A,FILLED
2018-07-12,ko,BUY,1000,44.83,Entry,N/A,FILLED
2018-07-18,pep,SELL,1000,114.92,Entry,N/A,FILLED
2018-07-18,ko,BUY,1000,45.19,Entry,N/A,FILLED
2018-07-20,pep,SELL,1000,115.75,Entry,N/A,FILLED
2018-07-20,ko,BUY,1000,45.02,Entry,N/A,FILLED
2018-09-14,pep,SELL,1000,114.89,Entry,N/A,FILLED
2018-09-14,ko,BUY,1000,45.92,Entry,N/A,FILLED
2018-09-28,pep,BUY,1000,111.54,Entry,N/A,FILLED
2018-09-28,ko,SELL,1000,46.0,Entry,N/A,FILLED
2018-10-03,pep,BUY,1000,109.21,Entry,N/A,FILLED
2018-10-03,ko,SELL,1000,46.46,Entry,N/A,FILLED
2018-12-03,pep,SELL,1000,120.48,Entry,N/A,FILLED
2018-12-03,ko,BUY,1000,49.87,Entry,N/A,FILLED
2018-12-18,pep,BUY,1000,113.22,Entry,N/A,FILLED
2018-12-18,ko,SELL,1000,48.61,Entry,N/A,FILLED
2018-12-26,pep,BUY,1000,106.22,Entry,N/A,FILLED
2018-12-26,ko,SELL,1000,45.88,Entry,N/A,FILLED
2019-02-01,pep,SELL,1000,112.95,Entry,N/A,FILLED
2019-02-01,ko,BUY,1000,48.48,Entry,N/A,FILLED
2019-02-15,pep,SELL,1000,115.85,Entry,N/A,FILLED
2019-02-15,ko,BUY,1000,45.9,Entry,N/A,FILLED
2019-03-19,pep,SELL,1000,117.36,Entry,N/A,FILLED
2019-03-19,ko,BUY,1000,45.55,Entry,N/A,FILLED
2019-04-18,pep,SELL,1000,128.23,Entry,N/A,FILLED
2019-04-18,ko,BUY,1000,47.33,Entry,N/A,FILLED
2019-05-17,pep,SELL,1000,129.92,Entry,N/A,FILLED
2019-05-17,ko,BUY,1000,49.27,Entry,N/A,FILLED
2019-06-10,pep,SELL,1000,133.18,Entry,N/A,FILLED
2019-06-10,ko,BUY,1000,51.54,Entry,N/A,FILLED
2019-07-22,pep,BUY,1000,130.49,Entry,N/A,FILLED
2019-07-22,ko,SELL,1000,51.52,Entry,N/A,FILLED
2019-08-28,pep,SELL,1000,134.5,Entry,N/A,FILLED
2019-08-28,ko,BUY,1000,54.66,Entry,N/A,FILLED
2019-09-05,pep,SELL,1000,138.8,Entry,N/A,FILLED
2019-09-05,ko,BUY,1000,55.75,Entry,N/A,FILLED
2019-10-04,pep,SELL,1000,137.84,Entry,N/A,FILLED
2019-10-04,ko,BUY,1000,54.0,Entry,N/A,FILLED
2019-11-06,pep,BUY,1000,134.5,Entry,N/A,FILLED
2019-11-06,ko,SELL,1000,52.53,Entry,N/A,FILLED
2019-11-12,pep,BUY,1000,132.68,Entry,N/A,FILLED
2019-11-12,ko,SELL,1000,51.91,Entry,N/A,FILLED
2019-12-10,pep,SELL,1000,137.61,Entry,N/A,FILLED
2019-12-10,ko,BUY,1000,54.04,Entry,N/A,FILLED
2020-01-03,pep,BUY,1000,135.46,Entry,N/A,FILLED
2020-01-03,ko,SELL,1000,54.32,Entry,N/A,FILLED
2020-01-08,pep,BUY,1000,134.46,Entry,N/A,FILLED
2020-01-08,ko,SELL,1000,54.27,Entry,N/A,FILLED
2020-01-10,pep,BUY,1000,135.17,Entry,N/A,FILLED
2020-01-10,ko,SELL,1000,55.48,Entry,N/A,FILLED
2020-01-21,pep,SELL,1000,140.8,Entry,N/A,FILLED
2020-01-21,ko,BUY,1000,56.85,Entry,N/A,FILLED
2020-02-28,pep,BUY,1000,133.24,Entry,N/A,FILLED
2020-02-28,ko,SELL,1000,53.83,Entry,N/A,FILLED
2020-03-13,pep,BUY,1000,120.68,Entry,N/A,FILLED
2020-03-13,ko,SELL,1000,49.51,Entry,N/A,FILLED
2020-03-17,pep,BUY,1000,116.7,Entry,N/A,FILLED
2020-03-17,ko,SELL,1000,45.88,Entry,N/A,FILLED
2020-03-23,pep,BUY,1000,106.0,Entry,N/A,FILLED
2020-03-23,ko,SELL,1000,38.755,Entry,N/A,FILLED
2020-04-08,pep,SELL,1000,129.64,Entry,N/A,FILLED
2020-04-08,ko,BUY,1000,46.64,Entry,N/A,FILLED
2020-05-18,pep,SELL,1000,136.85,Entry,N/A,FILLED
2020-05-18,ko,BUY,1000,44.82,Entry,N/A,FILLED
2020-07-01,pep,SELL,1000,132.53,Entry,N/A,FILLED
2020-07-01,ko,BUY,1000,44.93,Entry,N/A,FILLED
2020-07-14,pep,SELL,1000,134.59,Entry,N/A,FILLED
2020-07-14,ko,BUY,1000,44.91,Entry,N/A,FILLED
2020-09-03,pep,SELL,1000,142.7663,Entry,N/A,FILLED
2020-09-03,ko,BUY,1000,51.4,Entry,N/A,FILLED
2020-09-09,pep,BUY,1000,135.5,Entry,N/A,FILLED
2020-09-09,ko,SELL,1000,49.6,Entry,N/A,FILLED
2020-09-18,pep,BUY,1000,133.71,Entry,N/A,FILLED
2020-09-18,ko,SELL,1000,50.75,Entry,N/A,FILLED
2021-01-25,pep,BUY,1000,138.0637,Entry,N/A,FILLED
2021-01-25,ko,SELL,1000,48.42,Entry,N/A,FILLED
2021-02-01,pep,BUY,1000,136.98,Entry,N/A,FILLED
2021-02-01,ko,SELL,1000,48.27,Entry,N/A,FILLED
2021-02-12,pep,BUY,1000,135.26,Entry,N/A,FILLED
2021-02-12,ko,SELL,1000,50.57,Entry,N/A,FILLED
2021-02-23,pep,BUY,1000,132.65,Entry,N/A,FILLED
2021-02-23,ko,SELL,1000,51.0,Entry,N/A,FILLED
2021-03-23,pep,SELL,1000,138.45,Entry,N/A,FILLED
2021-03-23,ko,BUY,1000,50.99,Entry,N/A,FILLED
2021-03-29,pep,SELL,1000,142.87,Entry,N/A,FILLED
2021-03-29,ko,BUY,1000,52.73,Entry,N/A,FILLED
2021-04-22,pep,SELL,1000,146.24,Entry,N/A,FILLED
2021-04-22,ko,BUY,1000,54.47,Entry,N/A,FILLED
2021-07-01,pep,SELL,1000,148.08,Entry,N/A,FILLED
2021-07-01,ko,BUY,1000,54.34,Entry,N/A,FILLED
2021-07-08,pep,SELL,1000,149.42,Entry,N/A,FILLED
2021-07-08,ko,BUY,1000,54.01,Entry,N/A,FILLED
2021-07-14,pep,SELL,1000,152.89,Entry,N/A,FILLED
2021-07-14,ko,BUY,1000,55.02,Entry,N/A,FILLED
2021-07-19,pep,SELL,1000,155.99,Entry,N/A,FILLED
2021-07-19,ko,BUY,1000,56.08,Entry,N/A,FILLED
2021-08-23,pep,SELL,1000,157.83,Entry,N/A,FILLED
2021-08-23,ko,BUY,1000,56.67,Entry,N/A,FILLED
2021-09-29,pep,BUY,1000,151.34,Entry,N/A,FILLED
2021-09-29,ko,SELL,1000,52.64,Entry,N/A,FILLED
2021-10-01,pep,BUY,1000,151.35,Entry,N/A,FILLED
2021-10-01,ko,SELL,1000,52.78,Entry,N/A,FILLED
2021-10-08,pep,SELL,1000,156.57,Entry,N/A,FILLED
2021-10-08,ko,BUY,1000,54.0,Entry,N/A,FILLED
2021-10-15,pep,SELL,1000,159.66,Entry,N/A,FILLED
2021-10-15,ko,BUY,1000,54.64,Entry,N/A,FILLED
2021-11-08,pep,SELL,1000,165.81,Entry,N/A,FILLED
2021-11-08,ko,BUY,1000,56.75,Entry,N/A,FILLED
2021-12-06,pep,SELL,1000,166.05,Entry,N/A,FILLED
2021-12-06,ko,BUY,1000,54.31,Entry,N/A,FILLED
2021-12-13,pep,SELL,1000,168.93,Entry,N/A,FILLED
2021-12-13,ko,BUY,1000,56.98,Entry,N/A,FILLED
2022-01-26,pep,BUY,1000,169.36,Entry,N/A,FILLED
2022-01-26,ko,SELL,1000,59.79,Entry,N/A,FILLED
2022-02-11,pep,BUY,1000,168.06,Entry,N/A,FILLED
2022-02-11,ko,SELL,1000,61.77,Entry,N/A,FILLED
2022-02-15,pep,BUY,1000,167.217,Entry,N/A,FILLED
2022-02-15,ko,SELL,1000,60.955,Entry,N/A,FILLED
2022-03-11,pep,BUY,1000,155.45,Entry,N/A,FILLED
2022-03-11,ko,SELL,1000,57.96,Entry,N/A,FILLED
