DATE,SYMBOL,ACTION,SIZE,PRICE,TRIP,LMT_PRICE,STATUS
2017-02-16,pep,BUY,1000,107.15,Exit,N/A,FILLED
2017-02-16,ko,SELL,1000,40.55,Exit,N/A,FILLED
2017-03-21,pep,BUY,1000,111.54,Exit,N/A,FILLED
2017-03-21,ko,SELL,1000,42.31,Exit,N/A,FILLED
2017-03-24,pep,BUY,1000,111.98,Exit,N/A,FILLED
2017-03-24,ko,SELL,1000,42.23,Exit,N/A,FILLED
2017-04-18,pep,BUY,1000,113.44,Exit,N/A,FILLED
2017-04-18,ko,SELL,1000,43.11,Exit,N/A,FILLED
2017-04-21,pep,BUY,1000,113.55,Exit,N/A,FILLED
2017-04-21,ko,SELL,1000,42.98,Exit,N/A,FILLED
2017-06-01,pep,BUY,1000,116.8,Exit,N/A,FILLED
2017-06-01,ko,SELL,1000,45.45,Exit,N/A,FILLED
2017-07-05,pep,SELL,1000,115.5,Exit,N/A,FILLED
2017-07-05,ko,BUY,1000,44.79,Exit,N/A,FILLED
2017-07-14,pep,SELL,1000,114.26,Exit,N/A,FILLED
2017-07-14,ko,BUY,1000,44.52,Exit,N/A,FILLED
2017-08-18,pep,BUY,1000,118.29,Exit,N/A,FILLED
2017-08-18,ko,SELL,1000,45.8,Exit,N/A,FILLED
2017-09-18,pep,SELL,1000,115.17,Exit,N/A,FILLED
2017-09-18,ko,BUY,1000,46.15,Exit,N/A,FILLED
2017-09-27,pep,SELL,1000,111.72,Exit,N/A,FILLED
2017-09-27,ko,BUY,1000,45.47,Exit,N/A,FILLED
2017-10-06,pep,SELL,1000,110.17,Exit,N/A,FILLED
2017-10-06,ko,BUY,1000,45.39,Exit,N/A,FILLED
2017-11-22,pep,BUY,1000,115.77,Exit,N/A,FILLED
2017-11-22,ko,SELL,1000,45.89,Exit,N/A,FILLED
2018-01-04,pep,BUY,1000,117.8,Exit,N/A,FILLED
2018-01-04,ko,SELL,1000,45.56,Exit,N/A,FILLED
2018-01-16,pep,SELL,1000,117.2,Exit,N/A,FILLED
2018-01-16,ko,BUY,1000,46.15,Exit,N/A,FILLED
2018-02-13,pep,SELL,1000,112.0,Exit,N/A,FILLED
2018-02-13,ko,BUY,1000,43.92,Exit,N/A,FILLED
2018-02-13,pep,SELL,1000,112.0,Exit,N/A,FILLED
2018-02-13,ko,BUY,1000,43.92,Exit,N/A,FILLED
2018-02-20,pep,SELL,1000,110.96,Exit,N/A,FILLED
2018-02-20,ko,BUY,1000,44.75,Exit,N/A,FILLED
2018-03-16,pep,BUY,1000,112.33,Exit,N/A,FILLED
2018-03-16,ko,SELL,1000,43.7,Exit,N/A,FILLED
2018-04-26,pep,SELL,1000,102.25,Exit,N/A,FILLED
2018-04-26,ko,BUY,1000,42.4,Exit,N/A,FILLED
2018-06-20,pep,BUY,1000,105.73,Exit,N/A,FILLED
2018-06-20,ko,SELL,1000,43.62,Exit,N/A,FILLED
2018-06-27,pep,BUY,1000,108.37,Exit,N/A,FILLED
2018-06-27,ko,SELL,1000,43.33,Exit,N/A,FILLED
2018-07-16,pep,BUY,1000,112.56,Exit,N/A,FILLED
2018-07-16,ko,SELL,1000,44.73,Exit,N/A,FILLED
2018-07-24,pep,BUY,1000,114.14,Exit,N/A,FILLED
2018-07-24,ko,SELL,1000,44.78,Exit,N/A,FILLED
2018-07-24,pep,BUY,1000,114.14,Exit,N/A,FILLED
2018-07-24,ko,SELL,1000,44.78,Exit,N/A,FILLED
2018-09-18,pep,BUY,1000,115.475,Exit,N/A,FILLED
2018-09-18,ko,SELL,1000,46.39,Exit,N/A,FILLED
2018-10-02,pep,SELL,1000,110.45,Exit,N/A,FILLED
2018-10-02,ko,BUY,1000,46.28,Exit,N/A,FILLED
2018-10-09,pep,SELL,1000,108.68,Exit,N/A,FILLED
2018-10-09,ko,BUY,1000,46.38,Exit,N/A,FILLED
2018-12-06,pep,BUY,1000,116.31,Exit,N/A,FILLED
2018-12-06,ko,SELL,1000,49.51,Exit,N/A,FILLED
2018-12-21,pep,SELL,1000,110.96,Exit,N/A,FILLED
2018-12-21,ko,BUY,1000,47.26,Exit,N/A,FILLED
2018-12-28,pep,SELL,1000,110.09,Exit,N/A,FILLED
2018-12-28,ko,BUY,1000,47.89,Exit,N/A,FILLED
2019-02-05,pep,BUY,1000,113.03,Exit,N/A,FILLED
2019-02-05,ko,SELL,1000,49.33,Exit,N/A,FILLED
2019-02-22,pep,BUY,1000,116.11,Exit,N/A,FILLED
2019-02-22,ko,SELL,1000,45.76,Exit,N/A,FILLED
2019-03-28,pep,BUY,1000,121.89,Exit,N/A,FILLED
2019-03-28,ko,SELL,1000,46.68,Exit,N/A,FILLED
2019-04-24,pep,BUY,1000,127.41,Exit,N/A,FILLED
2019-04-24,ko,SELL,1000,48.03,Exit,N/A,FILLED
2019-05-22,pep,BUY,1000,129.1,Exit,N/A,FILLED
2019-05-22,ko,SELL,1000,48.78,Exit,N/A,FILLED
2019-06-12,pep,BUY,1000,134.01,Exit,N/A,FILLED
2019-06-12,ko,SELL,1000,51.5,Exit,N/A,FILLED
2019-07-29,pep,SELL,1000,131.5,Exit,N/A,FILLED
2019-07-29,ko,BUY,1000,54.17,Exit,N/A,FILLED
2019-08-30,pep,BUY,1000,136.11,Exit,N/A,FILLED
2019-08-30,ko,SELL,1000,55.16,Exit,N/A,FILLED
2019-09-09,pep,BUY,1000,136.4,Exit,N/A,FILLED
2019-09-09,ko,SELL,1000,55.03,Exit,N/A,FILLED
2019-10-09,pep,BUY,1000,137.32,Exit,N/A,FILLED
2019-10-09,ko,SELL,1000,54.06,Exit,N/A,FILLED
2019-11-08,pep,SELL,1000,133.29,Exit,N/A,FILLED
2019-11-08,ko,BUY,1000,52.46,Exit,N/A,FILLED
2019-11-14,pep,SELL,1000,133.6,Exit,N/A,FILLED
2019-11-14,ko,BUY,1000,52.53,Exit,N/A,FILLED
2019-12-12,pep,BUY,1000,136.8,Exit,N/A,FILLED
2019-12-12,ko,SELL,1000,54.01,Exit,N/A,FILLED
2020-01-07,pep,SELL,1000,136.0,Exit,N/A,FILLED
2020-01-07,ko,BUY,1000,54.45,Exit,N/A,FILLED
2020-01-14,pep,SELL,1000,136.18,Exit,N/A,FILLED
2020-01-14,ko,BUY,1000,56.24,Exit,N/A,FILLED
2020-01-14,pep,SELL,1000,136.18,Exit,N/A,FILLED
2020-01-14,ko,BUY,1000,56.24,Exit,N/A,FILLED
2020-01-27,pep,BUY,1000,141.65,Exit,N/A,FILLED
2020-01-27,ko,SELL,1000,57.21,Exit,N/A,FILLED
2020-03-04,pep,SELL,1000,136.19,Exit,N/A,FILLED
2020-03-04,ko,BUY,1000,56.41,Exit,N/A,FILLED
2020-03-18,pep,SELL,1000,120.84,Exit,N/A,FILLED
2020-03-18,ko,BUY,1000,44.74,Exit,N/A,FILLED
2020-03-19,pep,SELL,1000,121.43,Exit,N/A,FILLED
2020-03-19,ko,BUY,1000,44.36,Exit,N/A,FILLED
2020-03-25,pep,SELL,1000,112.74,Exit,N/A,FILLED
2020-03-25,ko,BUY,1000,40.63,Exit,N/A,FILLED
2020-04-13,pep,BUY,1000,131.69,Exit,N/A,FILLED
2020-04-13,ko,SELL,1000,48.35,Exit,N/A,FILLED
2020-05-20,pep,BUY,1000,132.54,Exit,N/A,FILLED
2020-05-20,ko,SELL,1000,45.2,Exit,N/A,FILLED
2020-07-06,pep,BUY,1000,133.08,Exit,N/A,FILLED
2020-07-06,ko,SELL,1000,45.14,Exit,N/A,FILLED
2020-07-16,pep,BUY,1000,134.0556,Exit,N/A,FILLED
2020-07-16,ko,SELL,1000,46.26,Exit,N/A,FILLED
2020-09-08,pep,BUY,1000,138.31,Exit,N/A,FILLED
2020-09-08,ko,SELL,1000,50.93,Exit,N/A,FILLED
2020-09-15,pep,SELL,1000,136.48,Exit,N/A,FILLED
2020-09-15,ko,BUY,1000,51.0,Exit,N/A,FILLED
2020-09-22,pep,SELL,1000,131.0,Exit,N/A,FILLED
2020-09-22,ko,BUY,1000,49.11,Exit,N/A,FILLED
2021-01-27,pep,SELL,1000,140.505,Exit,N/A,FILLED
2021-01-27,ko,BUY,1000,48.89,Exit,N/A,FILLED
2021-02-03,pep,SELL,1000,137.75,Exit,N/A,FILLED
2021-02-03,ko,BUY,1000,48.95,Exit,N/A,FILLED
2021-02-18,pep,SELL,1000,134.07,Exit,N/A,FILLED
2021-02-18,ko,BUY,1000,50.16,Exit,N/A,FILLED
2021-02-25,pep,SELL,1000,131.35,Exit,N/A,FILLED
2021-02-25,ko,BUY,1000,50.47,Exit,N/A,FILLED
2021-03-26,pep,BUY,1000,139.62,Exit,N/A,FILLED
2021-03-26,ko,SELL,1000,52.14,Exit,N/A,FILLED
2021-03-31,pep,BUY,1000,143.32,Exit,N/A,FILLED
2021-03-31,ko,SELL,1000,53.03,Exit,N/A,FILLED
2021-04-26,pep,BUY,1000,145.55,Exit,N/A,FILLED
2021-04-26,ko,SELL,1000,54.47,Exit,N/A,FILLED
2021-07-07,pep,BUY,1000,149.29,Exit,N/A,FILLED
2021-07-07,ko,SELL,1000,53.72,Exit,N/A,FILLED
2021-07-12,pep,BUY,1000,149.49,Exit,N/A,FILLED
2021-07-12,ko,SELL,1000,54.32,Exit,N/A,FILLED
2021-07-16,pep,BUY,1000,155.68,Exit,N/A,FILLED
2021-07-16,ko,SELL,1000,56.46,Exit,N/A,FILLED
2021-07-21,pep,BUY,1000,155.3,Exit,N/A,FILLED
2021-07-21,ko,SELL,1000,57.33,Exit,N/A,FILLED
2021-08-25,pep,BUY,1000,155.36,Exit,N/A,FILLED
