"Date","ivv_Open","ivv_High","ivv_Low","ivv_Close","ivv_Volume","ivv_TWAP","ivv_VWAP","ivv_PreviousCloseDate","ko_Open","ko_High","ko_Low","ko_Close","ko_Volume","ko_TWAP","ko_VWAP","ko_PreviousCloseDate","pep_Open","pep_High","pep_Low","pep_Close","pep_Volume","pep_TWAP","pep_VWAP","pep_PreviousCloseDate"
"2022-04-13",440.05,445.98,439.74,445.2,7292474,443.180524,443.257635,"2022-04-12",64.44,64.87,64.23,64.73,11882991,64.630506,64.640715,"2022-04-12",173.58,173.82,171.73,173,4394054,172.803518,172.830567,"2022-04-12"
"2022-04-12",445.05,447.65,438.56,440.05,5272471,442.815237,442.556394,"2022-04-11",64.38,64.805,63.89,64.56,18089907,64.518969,64.518396,"2022-04-11",173.78,174.65,172.63,173.3,3924333,173.706266,173.612136,"2022-04-11"
"2022-04-11",446.02,446.89,441.3,441.74,4955008,443.768427,443.453527,"2022-04-08",63.905,64.3,63.635,63.81,12720105,63.965584,63.942762,"2022-04-08",173.61,174.97,172.32,172.6,3825328,173.328905,173.160544,"2022-04-08"
"2022-04-08",449.97,452.56,447.91,449.51,4962820,450.421567,450.289491,"2022-04-07",63.48,64.04,63.16,63.83,12703466,63.735093,63.759318,"2022-04-07",172.99,173.69,171.59,173.13,3883183,172.989897,173.047323,"2022-04-07"
"2022-04-07",447.54,452.62,445.45,450.71,5313245,448.893648,448.93429,"2022-04-06",63.13,63.67,62.711,63.44,13960823,63.307394,63.326594,"2022-04-06",172.03,173.28,170.78,172.55,5041686,172.296591,172.353298,"2022-04-06"
"2022-04-06",448.79,450.88,445.42,448.49,6035483,448.029646,448.027126,"2022-04-05",62.77,63.26,62.3,63.1,19267420,62.943645,62.946216,"2022-04-05",169.92,172.7,169.485,172.39,4294868,171.782024,171.863001,"2022-04-05"
"2022-04-05",457.24,459.79,451.82,452.89,4425567,455.123436,454.742847,"2022-04-04",62.4,63.235,62.37,62.47,15721234,62.824338,62.767587,"2022-04-04",168.32,171.38,168.32,169.5,4480879,170.282076,170.02911,"2022-04-04"
"2022-04-04",455.18,458.91,454.24,458.8,4052062,457.308398,457.453823,"2022-04-01",62.6,62.785,61.72,62.54,11506554,62.312602,62.366401,"2022-04-01",169.11,169.39,167.45,169.32,3759985,168.775004,168.976167,"2022-04-01"
"2022-04-01",455.26,455.42,451.08,454.79,5257398,453.530261,453.660429,"2022-03-31",62.33,62.95,62.085,62.87,12644879,62.461866,62.521751,"2022-03-31",167.89,169.93,167.37,169.76,3239641,168.547804,168.883348,"2022-03-31"
"2022-03-31",459.91,460.72,453.47,453.69,6553420,457.636005,457.124021,"2022-03-30",62.22,62.64,62,62,16822902,62.310183,62.22943,"2022-03-30",168.37,169.3,167.27,167.38,6076177,168.274497,167.902124,"2022-03-30"
